Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад молочный Alpen Gold 80г,https://magnit.ru/product/1000070202-shokolad_alpen_gold_molochnyy_85g?shopCode=992301&shopType=6,1000070202,69.99,129.99,-46%,Alpen Gold,Мондэлис Русь,Без добавок,4.8,8106.0,268.0,522.0,5.4,28.0,62.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, масло какао, сыворотка сухая молочная, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, эмульгаторы (лецитин соевый, Е476), ароматизатор",,,,,,,,
Шоколад молочный и белый пористый Россия щедрая душа 75г,https://magnit.ru/product/1000178487-shokolad_rossiya_molochnyy_poristyy_belyy_82g?shopCode=992301&shopType=6,1000178487,79.99,119.99,-33%,Россия Щедрая Душа,Нестле,Без добавок,4.8,9205.0,395.0,542.0,5.7,31.0,60.0,Шоколадная плитка,0.075,флоупак,,27.0,"Сахар, масло какао, молоко сухое цельное, сыворотка молочная сухая, какао тертое, молочный жир, эмульгаторы (лецитины, Е476), ароматизатор натуральный. В молочной шоколадной массе: сухой общий остаток какао – не менее 25 %, сухой обезжиренный остаток какао - не менее 2.5 %, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%. В белой шоколадной массе: сухой общий остаток какао - не менее 20%. Продукт содержит молочный шоколад - 51%, белый шоколад - 49%",,,,,,,,
Шоколад молочный Тропический кокос Alpen Gold 80г,https://magnit.ru/product/1000485858-alpen_gold_shokolad_molochnyy_tropicheskiy_kokos_80g?shopCode=992301&shopType=6,1000485858,74.99,139.99,-46%,Alpen Gold,Мондэлис Русь,Кокос,4.8,926.0,46.0,515.0,5.1,27.0,60.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, масло какао, сыворотка сухая молочная, молоко сухое цельное, фруктовые кусочки со вкусом манго, ананаса, маракуйи (пюре яблочное концентрированное, сироп глюкозно-фруктозный, сироп глюкозный, сахар, концентраты соков (ананас, маракуйя), пюре манго концентрированное, волокна пшеничные, регулятор кислотности (кислота лимонная), желирующий агент (пектины), жир растительный (масло пальмовое), ароматизаторы натуральные), стружка кокосовая, жир молочный, воздушный рис (мука рисовая, сахар, ячменно-солодовый экстракт, масло пальмовое, соль), молоко сухое обезжиренное, эмульгаторы (лецитин соевый, Е476), ароматизатор",,,,,,,,
Шоколад молочный пористый Россия щедрая душа 75г,https://magnit.ru/product/1000178483-shokolad_rossiya_molochnyy_poristyy_82g?shopCode=992301&shopType=6,1000178483,79.99,119.99,-33%,Россия Щедрая Душа,Нестле,Без добавок,4.8,4388.0,189.0,539.0,6.5,30.0,59.0,Шоколадная плитка,0.075,флоупак,Молочный,30.0,"Сахар, масло какао, молоко сухое цельное, какао тертое, сыворотка молочная сухая, молочный жир, эмульгаторы (лецитины, Е476), ароматизатор натуральный. В шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5 %, сухой молочный остаток - не менее 12%, молочный жир- не менее 2.5%",,,,,,,,
Шоколад Молочный Caramel Milka 90г,https://magnit.ru/product/1000149246-shokolad_milka_s_karamelnoy_nachinkoy_90g?shopCode=992301&shopType=6,1000149246,99.99,199.99,-50%,Milka,Мондэлис Русь,Карамель,4.9,3199.0,154.0,490.0,3.9,24.0,62.0,Шоколадная плитка,0.09,флоупак,Молочный,25.0,"1 - сахар, сироп глюкозный, масло какао, какао тертое, сыворотка сухая молочная, жир растительный (пальмовый), молоко сухое цельное, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, Е471, Е476), ароматизаторы, паста ореховая (фундук), соль, регуляторы кислотности (Е500i, кислота лимонная) 2 - сахар, сироп глюкозный, масло какао, какао тертое, глюкозно-фруктозный сироп, сыворотка сухая молочная, жир растительный (пальмовый), молоко сухое цельное, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, лецитин подсолнечный, Е471, Е 476), ароматизаторы, паста ореховая (фундук), соль, регулятор кислотности (Е500i)",,,,,,,,
Шоколад Dark темный фундук Alpen Gold 75г,https://magnit.ru/product/1000219301-shokolad_alpen_gold_dark_temnyy_s_droblenym_fundukom_80g?shopCode=992301&shopType=6,1000219301,125.99,,,Alpen Gold,Мондэлис Русь,Орехи,4.7,564.0,32.0,527.0,5.8,33.0,52.0,Шоколадная плитка,0.075,флоупак,Темный,40.0,"Сахар, какао тёртое, фундук обжаренный дробленый, масло какао, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор. Содержит фундук, молочный продукт, лецитин соевый, может содержать следы арахиса, других орехов и пшеницы, в темной шоколадной массе содержание общего сухого остатка какао - не менее 40%, общее содержание какао-продуктов в тёмной шоколадной массе не менее 40%",,,,,,,,
Шоколад молочный Фундук Alpen Gold 80г,https://magnit.ru/product/1000070203-shokolad_alpen_gold_molochnyy_s_droblenym_fundukom_85g?shopCode=992301&shopType=6,1000070203,74.99,139.99,-46%,Alpen Gold,Мондэлис Русь,Орехи,4.8,9879.0,360.0,532.0,6.1,30.0,58.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, масло какао, сыворотка сухая молочная, молоко сухое цельное, фундук обжаренный дробленный, жир молочный, молоко сухое обезжиренное, эмульгаторы (лецитин соевый, Е476), ароматизатор",,,,,,,,
Шоколад Элитный Бабаевский 75% какао 75г,https://magnit.ru/product/1699900781-shokolad_babaevskiy_elitnyy_75_kakao_100g?shopCode=992301&shopType=6,1699900781,149.99,249.99,-40%,Бабаевский,Объединенные Кондитеры,Без добавок,4.8,6284.0,404.0,520.0,10.5,36.0,32.0,Шоколадная плитка,0.075,бумажная упаковка,Горький,75.0,"Какао тертое, сахар, какао-порошок, масло какао, эмульгаторы: лецитин соевый, Е476, ароматизатор «Ваниль». Возможно наличие незначительного количества арахиса, орехов: миндаля, фундука и кешью, молочных продуктов",,,,,,,,
Шоколад Mmmax молочный Milka 260г,https://magnit.ru/product/1000562863-milka_shokolad_molochnyy_260g?shopCode=992301&shopType=6,1000562863,399.99,619.99,-35%,Milka,Мондэлис Русь,Без добавок,4.9,613.0,54.0,534.0,5.7,30.0,59.0,Шоколадная плитка,0.26,флоупак,Молочный,,"Сахар, масло какао, какао тертое, молоко сухое цельное, сыворотка сухая молочная, молоко сухое обезжиренное, жир молочный, эмульгаторы (лецитин соевый, E476), фундук обжаренный тертый, ароматизатор",,,,,,,,
Шоколад Трилогия Schogetten 100г,https://magnit.ru/product/1000258448-schogetten_trilogia_shokolad_190_02300_portsionnyy_dvukhsloynyy_belyy_s_grilyazhem_i_fundukom_moloch?shopCode=992301&shopType=6,1000258448,149.99,169.99,-11%,Schogetten,Ludwig Schokolade,Орехи,4.8,827.0,53.0,557.0,5.8,34.0,55.0,Шоколадная плитка,0.1,картонная упаковка,,30.0,"Масло какао, сахар, паста из ореха фундук, сухое молоко цельное, сухие сливки, тертое какао, грильяж с фундуком, сухое молоко обезжиренное, лактоза, молочная сыворотка сухая сладкая, молочный жир, лецитин соевый, натуральный ароматизатор в составе молочного шоколада массовая доля сухого остатка какао около 30%, обезжиренного остатка сухого какао около 2, 5%, обезжиренного остатка сухого молока около 18%, жира молочного около 4, 5% в белом шоколаде содержится массовая доля общего сухого остатка какао около 20% возможно содержание следов арахиса и других орехов, глютена и яиц",,,,,,,,
Батончик шоколадный трио с нежной мякотью кокоса Bounty 82.5г,https://magnit.ru/product/1635300035-shokoladnyy_batonchik_bounty_trio_82_5g?shopCode=992301&shopType=6,1635300035,89.99,,,Bounty,Марс,,4.8,5780.0,197.0,487.0,3.0,25.8,59.7,Батончик шоколадный,0.0825,флоупак,Молочный,,"Начинка: сушеная мякоть кокоса, сахар, глюкозный сироп (кукурузный, пшеничный), эмульгатор (моно- и диглицериды жирных кислот), регулятор влажности (глицерин), соль, ароматизатор «Ванилин», мука пшеничная; молочный шоколад (какао продуктов 27%, сухой молочный остаток – не менее 20%): сахар, какао-масло, цельное сухое молоко, какао-тертое, лактоза, сухая молочная сыворотка, эмульгатор (соевый лецитин), молочный жир, идентичный натуральному ароматизатор «Ванилин», молоко сухое обезжиренное",Молочный шоколад,Кокос,,,,,,
Шоколад Gold Selection молочный фундук Россия щедрая душа 85г,https://magnit.ru/product/1000457181-rossiya_shchedraya_dusha_gold_selection_shokolad_molochnyy_s_fundukom_85g?shopCode=992301&shopType=6,1000457181,99.99,199.99,-50%,Россия Щедрая Душа,Нестле,Орехи,4.7,779.0,80.0,557.0,77.0,345.0,52.0,Шоколадная плитка,0.085,флоупак,Молочный,25.0,"Сахар, масло какао, молоко сухое цельное, фундук целый, какао тертое, фундук дробленый, сыворотка молочная сухая, молочный жир, эмульгаторы (лецитины, E476), ароматизатор натуральный",,,,,,,,
Паста молочно-шоколадная с фундуком Коровка из Кореновки 330г,https://magnit.ru/product/1000301607-korovka_iz_korenovki_pasta_molochno_shokoladnaya_s_fundukom_330g_plastikovaya_banka_zao_alekseevskiy?shopCode=992301&shopType=6,1000301607,269.99,369.99,-27%,Коровка из Кореновки,Кореновский МКК,,4.6,837.0,129.0,350.0,6.0,15.0,49.0,Шоколадная паста,0.33,пластиковая банка,,,"Молоко нормализованное, сахар (сахароза), масло сливочное, вода, паста ядер орехов фундука обжаренных, какао-порошок, ароматизатор «фундук» идентичный натуральному, стабилизатор фосфат натрия, шоколад молочный, ароматизатор «ванилин» идентичный натуральному, соль пищевая, сахар молочный пищевой (лактоза)",,,,,,,,
Шоколад Bubbles Молочный пористый Milka 72г,https://magnit.ru/product/1000060407-shokolad_milka_bubbles_molochnyy_poristyy_80g?shopCode=992301&shopType=6,1000060407,99.99,199.99,-50%,Milka,Мондэлис Русь,Без добавок,4.9,2184.0,109.0,525.0,5.9,30.0,59.0,Шоколадная плитка,0.072,флоупак,Молочный,25.0,"Сахар, масло какао, какао тертое, сухое цельное молоко, сухое обезжиренное молоко, сухая молочная сыворотка, молочный жир, паста ореховая (фундук), эмульгаторы (лецитин соевый, Е476), ароматизатор ванилин идентичный натуральному. Содержит фундук, молочные продукты, лецитин соевый. Может содержать следы арахиса, других орехов и пшеницы",,,,,,,,
Шоколад молочный Арахис и кукурузные хлопья Alpen Gold 80г,https://magnit.ru/product/1000115573-alpen_gold_shokolad_molochnyy_arakh_kukur_khlop85g_mondelis_21?shopCode=992301&shopType=6,1000115573,74.99,129.99,-42%,Alpen Gold,Мондэлис Русь,Орехи,4.8,525.0,18.0,518.0,7.0,27.7,59.7,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, масло какао, сухое цельное молоко, сухая молочная сыворотка, арахис, хлопья кукурузные, молочный жир, эмульгаторы (лецитин соевый, E476), ароматизатор ванилин идентичный натуральному содержит молочные продукты, арахис, лецитин соевый может содержать следы других орехов и пшеницы",,,,,,,,
Шоколад молочный с лесным орехом Степ 90г,https://magnit.ru/product/1000269392-step_shokolad_20293_s_lesnym_orekhom_molochnyy_s_nachinkoy_100g_floupak_ao_slavyanka_plyus_15?shopCode=992301&shopType=6,1000269392,45.99,69.99,-34%,Степ,Славянка КО,Орехи,4.7,2093.0,116.0,497.0,8.8,29.2,52.5,Шоколадная плитка,0.1,флоупак,Молочный,35.0,"Сахар, арахис, патока, молоко цельное сухое, масло какао, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахара (сахароза, лактоза)), какао-тертое, жир растительный (масла растительные, эмульгатор лецитин соевый, антиокислители (Е319, кислота лимонная)), сыворотка молочная сухая, эквивалент масла какао (масла растительные, эмульгатор лецитин соевый, антиокислители (Е306, кислота лимонная)), эмульгаторы (лецитин соевый, Е476), ядра фундука дробленые, соль, ароматизаторы, вкусоароматическая добавка экстракт мускатного ореха",,,,,,,,
Шоколад Молочный Клубника со сливками Milka 80г,https://magnit.ru/product/1647000053-shokolad_milka_molochnyy_so_vkusom_klubniki_90g?shopCode=992301&shopType=6,1647000053,99.99,199.99,-50%,Milka,Мондэлис Русь,,4.8,2388.0,95.0,529.0,8.7,38.0,43.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, какао тертое, молоко сухое цельное, фундук обжаренный дробленый, молоко сухое обезжиренное, сыворотка молочная сухая, жир молочный, наполнитель - кремовая начинка со вкусом клубники, эмульгаторы (лецитин соевый, Е476), ароматизатор «ванилин»",,,,,,,,
Шоколад молочный с кокосом и вафлей Россия щедрая душа 82г,https://magnit.ru/product/1000184101-shokolad_rossiya_s_kokosom_i_vafley_90g?shopCode=992301&shopType=6,1000184101,79.99,119.99,-33%,Россия Щедрая Душа,Нестле,,4.8,3230.0,135.0,551.0,4.8,32.0,61.0,Шоколадная плитка,0.082,флоупак,Молочный,26.0,"Сахар, пальмовое масло, молоко сухое цельное, масло какао, сыворотка молочная сухая, какао тертое, вафля (1.4%) (мука пшеничная (содержит глютен), продукты яичные, соль, разрыхлитель (гидрокарбонат натрия)), кокосовая стружка (0.9%), молочный жир, эмульгаторы (лецитины, Е476), ароматизаторы натуральные. В молочной шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%. В белой шоколадной массе: сухой общий остаток какао - не менее 20%. Продукт содержит белый шоколад - 25%, молочный шоколад - 25%",,,,,,,,
Шоколадный батончик Picnic Big 76г,https://magnit.ru/product/1000136578-shokoladnyy_batonchik_picnic_76g?shopCode=992301&shopType=6,1000136578,69.99,109.99,-36%,Picnic,Мондэлис Русь,,4.8,10325.0,402.0,504.0,7.1,55.0,25.5,Батончик шоколадный,0.076,флоупак,Молочный,,"Шоколад молочный (сахар, масло какао, какао тертое, сыворотка сухая молочная, молоко сухое цельное, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор), сахар, арахис обжаренный дробленый, изюм, масла растительные, мука пшеничная, патока крахмальная (кукурузная), воздушный рис (мука рисовая, сахар, ячмено-солодовый экстракт, масло растительное, соль), сыворотка сухая молочная, какао-порошок, соль, эмульгаторы: (Е471, лецитин соевый), загуститель (Е422), ароматизаторы. Содержит арахис, пшеницу, глютен, молочные продукты, соевый продукт. Может содержать следы других орехов",Молочный шоколад,Орехи,,,,,,
Шоколад молочный с начинкой Степ 90г,https://magnit.ru/product/1000257744-shokolad_step_molochnyy_s_nachinkoy_100g?shopCode=992301&shopType=6,1000257744,45.99,69.99,-34%,Степ,Славянка КО,Орехи,4.8,1549.0,84.0,491.0,9.3,28.7,52.1,Шоколадная плитка,0.1,флоупак,Молочный,35.0,"Сахар, арахис, патока, молоко цельное сухое, масло какао, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахара (сахароза, лактоза)), какао тертое, жир растительный (масла растительные, антиокислители (Е319, кислота лимонная)), сыворотка молочная сухая, эквивалент масла какао (масла растительные, эмульгатор соевый лецитин, антиокислители (Е306, кислота лимонная)), эмульгаторы (лецитин соевый, Е476), соль, ароматизаторы, ядра фундука дробленые",,,,,,,,
Шоколад Темный Особый 40% 85г,https://magnit.ru/product/1630200091-shokolad_osobyy_temnyy_90g?shopCode=992301&shopType=6,1630200091,129.99,189.99,-31%,Особый,КФ им. Н.К. Крупской,Без добавок,4.9,3608.0,415.0,500.0,8.0,33.0,47.0,Шоколадная плитка,0.085,бумажная упаковка,Темный,53.0,"Какао-тертое, сахар, молоко цельное сухое, масло какао, соль, эмульгаторы (лецитин соевый, E476), ароматизатор «Ваниль»",,,,,,,,
Шоколад темный 41% Российский 75/82г,https://magnit.ru/product/1000090828-shokolad_rossiyskiy_temnyy_90g?shopCode=992301&shopType=6,1000090828,74.99,109.99,-31%,Россия Щедрая Душа,Нестле,Без добавок,4.7,1783.0,100.0,521.0,55.0,28.0,57.0,Шоколадная плитка,0.075,флоупак,Темный,41.0,"Сахар, какао тертое, масло какао, молочный жир, спирт этиловый, эмульгаторы (лецитины, E476), соль, ароматизатор натуральный",,,,,,,,
Шоколад горький 70% Российский 82г,https://magnit.ru/product/1000070727-shokolad_rossiyskiy_gorkiy_70_kakao_90g?shopCode=992301&shopType=6,1000070727,74.99,109.99,-31%,Россия Щедрая Душа,Нестле,Без добавок,4.8,4284.0,272.0,569.0,11.0,41.0,31.0,Шоколадная плитка,0.082,флоупак,Горький,70.0,"Какао тертое, сахар, какао-порошок с пониженным содержанием жира, масло какао, молочный жир, спирт этиловый, ароматизаторы натуральные. В шоколадной массе: сухой общий остаток какао – 70%",,,,,,,,
Шоколад White Chocolate белый Schogetten 100г,https://magnit.ru/product/1000391692-schogetten_shokolad_belyy_100g_k_up?shopCode=992301&shopType=6,1000391692,134.99,,,Schogetten,Ludwig Schokolade,,4.9,28.0,1.0,555.0,5.5,33.0,59.0,Шоколадная плитка,0.1,картонная упаковка,Белый,,"Сахар, какао-масло, сухое обезжиренное молоко, сухое цельное молоко, сухие сливки, сухая сладкая сыворотка (молоко), лактоза, жирное масло, эмульгатор (лецитины (соя)), экстракт ванили",,,,,,,,
Шоколад Молочный Миндаль и лесные ягоды Milka 80г,https://magnit.ru/product/1000077093-shokolad_milka_molochnyy_s_mindalem_i_lesnymi_yagodami_90g?shopCode=992301&shopType=6,1000077093,99.99,199.99,-50%,Milka,Мондэлис Русь,Орехи,4.8,1754.0,85.0,525.0,4.8,31.0,55.5,Шоколадная плитка,0.08,флоупак,Молочный,27.0,"Сахар, начинка «лесные ягоды» (глюкозный сироп, сахар, влагоудерживающий агент (глицерин), вода, глюкозно-фруктозный сироп, концентрированный сок бузины, регуляторы кислотности (кислота лимонная, Е331), концентрированный сок ежевики, концентрированный сок черники, концентрированный сок малины, загустители (пектин, Е410), ароматизатор натуральный), заменитель масла какао, масло какао, какао тертое, сухое цельное молоко, сухая молочная сыворотка, сухое обезжиренное молоко, молочный жир, паста ореховая (фундук), паста миндальная, эмульгаторы(лецитин соевый, Е476, лецитин подсолнечный), ароматизаторы идентичные натуральным («миндаль», «ванилин»)",,,,,,,,
Шоколад Молочный Caramel Brownie Schogetten 100г,https://magnit.ru/product/1000252931-schogetten_caramel_brownie_shokolad_190_01960_molochnyy_100g_kartonnaya_upakovka_15?shopCode=992301&shopType=6,1000252931,84.99,,,Schogetten,Ludwig Schokolade,,4.8,546.0,29.0,564.0,5.0,37.0,53.0,Шоколадная плитка,0.1,картонная упаковка,Молочный,30.0,"Сахар, какао масло, пальмовое масло, сухие сливки, сухое цельное молоко, какао тертое, сладкая сухая молочная сыворотка, карамель (1,1%) (сахар, масло какао, пальмовое масло, сироп из глюкозы, сухое цельное молоко, масло сливочное, миндаль, лактоза, соль, натуральный ароматизатор, ароматизаторы, эмульгаторы (лецитин соевый, лецитин подсолнечный)), какао порошок (обезжиренный) (1,0%), кокосовое масло, мука пшеничная, молочный жир, эмульгатор (лецитин соевый), натуральный ароматизатор, натуральный ванильный ароматизатор, пшеничный крахмал, соль морская, разрыхлитель (гидрокарбонат натрия, гидрокарбонат аммония). Содержит не менее 30% какао-продуктов в шоколадной массе. Может содержать следы арахиса, орехов и яйцо",,,,,,,,
Шоколад молочный Фундук и изюм Alpen Gold 80г,https://magnit.ru/product/1000070206-shokolad_alpen_gold_molochnyy_s_fundukom_i_izyumom_85g?shopCode=992301&shopType=6,1000070206,74.99,139.99,-46%,Alpen Gold,Мондэлис Русь,,4.8,5978.0,263.0,493.0,5.4,25.0,60.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, изюм, какао тертое, масло какао, сыворотка сухая молочная, молоко сухое цельное, фундук обжаренный дробленный, жир молочный, молоко сухое обезжиренное, эмульгаторы (лецитин соевый, Е476), ароматизатор",,,,,,,,
Шоколад Темный Люкс Бабаевский 75г,https://magnit.ru/product/3070910770-shokolad_babaevskiy_lyuks_100g?shopCode=992301&shopType=6,3070910770,149.99,219.99,-31%,Бабаевский,Объединенные Кондитеры,Без добавок,4.8,3246.0,228.0,549.0,5.0,36.0,52.0,Шоколадная плитка,0.075,бумажная упаковка,Темный,54.0,"Сахар, какао тертое, масло какао, эмульгаторы: лецитин соевый, Е476, ароматизатор «Ванильно-сливочный». Массовая доля общего сухого остатка какао - не менее 40%. Возможно наличие незначительного количества арахиса, орехов: миндаля, фундука и кешью, молочных продуктов, муки пшеничной",,,,,,,,
Батончик шоколадный с хрустящей вафлей Goodmix 29г,https://magnit.ru/product/1000483413-goodmix_shok_baton_s_khrust_vaf_29g_f_p?shopCode=992301&shopType=6,1000483413,35.99,49.99,-28%,Goodmix,Нестле,,4.9,3773.0,259.0,532.0,5.6,29.0,62.0,Батончик шоколадный,0.029,флоупак,Молочный,,"Сахар, сухое цельное молоко, мука пшеничная (содержит глютен), масло какао, жир специального назначения (масло пальмовое, эмульгатор (лецитины)), какао тертое, сыворотка молочная сухая, эквивалент масла какао (масло пальмовое, масло ши), молочный жир, вода, эмульгаторы (лецитины, Е476), какао порошок с пониженным содержанием жира, вещество для обработки муки (сульфат кальция), разрыхлитель (гидрокарбонат натрия), ароматизатор натуральный, в молочной шоколадной массе: сухой общий остаток какао - не менее 25%, сухой обезжиренный остаток какао - не менее 2.5%, сухой молочный остаток - не менее 12%, молочный жир - не менее 2.5%. Продукт может содержать арахис, орехи, яичный белок и сою",Молочный шоколад,Вафли,,,,,,
Шоколад молочный с печеньем и начинкой А4 66г,https://magnit.ru/product/1000519148-a4_shokolad_molochnyy_s_pechenem_i_nachinkoy_66_g?shopCode=992301&shopType=6,1000519148,79.99,,,А4,КФ Алтай,Печенье,4.7,1566.0,126.0,520.0,7.5,29.0,57.0,Шоколадная плитка,0.067,флоупак,Молочный,,"Молочная шоколадная глазурь (сахар, эквивалент масла какао (растительные масла, эмульгатор (лецитин)), молоко сухое цельное и обезжиренное, какао тёртое, сыворотка молочная сухая, эмульгаторы (Е442, Е476), ароматизатор ванилин), печенье (мука пшеничная, сахар, жир кондитерский (растительные масла, антиокислитель (концентрат смеси токоферолов)), какао порошок, яичный порошок, соль, разрыхлители (Е500ii, Е503ii), эмульгатор (соевый лецитин)), начинка кондитерская какаосодержащая кремовая (сахар, заменитель молочного жира (растительные масла, антиокислитель концентрат смеси токоферолов), какао порошок, сухая молочная сыворотка, эмульгаторы (соевый лецитин, Е476)), ароматизаторы ванилин, шоколад). Продукт может содержать незначительное количество арахиса",,,,,,,,
